2018-06-12 06:58:40 status unpacked gpgv:amd64 1.4.20-1ubuntu3.2
2018-06-12 06:58:40 status half-configured gpgv:amd64 1.4.20-1ubuntu3.2
2018-06-12 06:58:40 status installed gpgv:amd64 1.4.20-1ubuntu3.2
2018-06-12 06:58:40 startup archives unpack
2018-06-12 06:58:41 upgrade gnupg:amd64 1.4.20-1ubuntu3.1 1.4.20-1ubuntu3.2
2018-06-12 06:58:41 status half-configured gnupg:amd64 1.4.20-1ubuntu3.1
2018-06-12 06:58:41 status unpacked gnupg:amd64 1.4.20-1ubuntu3.1
2018-06-12 06:58:41 status half-installed gnupg:amd64 1.4.20-1ubuntu3.1
2018-06-12 06:58:41 status triggers-pending install-info:amd64 6.1.0.dfsg.1-5
2018-06-12 06:58:41 status triggers-pending man-db:amd64 2.7.5-1
2018-06-12 06:58:41 status half-installed gnupg:amd64 1.4.20-1ubuntu3.1
2018-06-12 06:58:41 status unpacked gnupg:amd64 1.4.20-1ubuntu3.2
2018-06-12 06:58:42 status unpacked gnupg:amd64 1.4.20-1ubuntu3.2
2018-06-12 06:58:42 trigproc install-info:amd64 6.1.0.dfsg.1-5 <none>
2018-06-12 06:58:42 status half-configured install-info:amd64 6.1.0.dfsg.1-5
2018-06-12 06:58:44 status installed install-info:amd64 6.1.0.dfsg.1-5
2018-06-12 06:58:44 trigproc man-db:amd64 2.7.5-1 <none>
2018-06-12 06:58:44 status half-configured man-db:amd64 2.7.5-1
2018-06-12 06:58:44 status installed man-db:amd64 2.7.5-1
2018-06-12 06:58:44 startup packages configure
2018-06-12 06:58:44 configure gnupg:amd64 1.4.20-1ubuntu3.2 <none>
2018-06-12 06:58:44 status unpacked gnupg:amd64 1.4.20-1ubuntu3.2
2018-06-12 06:58:44 status half-configured gnupg:amd64 1.4.20-1ubuntu3.2
2018-06-12 06:58:45 status installed gnupg:amd64 1.4.20-1ubuntu3.2
2018-06-12 06:58:45 startup archives unpack
2018-06-12 06:58:45 upgrade flashplugin-installer:amd64 29.0.0.171ubuntu0.16.04.1 30.0.0.113ubuntu0.16.04.1
2018-06-12 06:58:45 status half-configured flashplugin-installer:amd64 29.0.0.171ubuntu0.16.04.1
2018-06-12 06:58:46 status unpacked flashplugin-installer:amd64 29.0.0.171ubuntu0.16.04.1
2018-06-12 06:58:46 status half-installed flashplugin-installer:amd64 29.0.0.171ubuntu0.16.04.1
2018-06-12 06:58:46 status triggers-pending update-notifier-common:all 3.168.8
2018-06-12 06:58:46 status half-installed flashplugin-installer:amd64 29.0.0.171ubuntu0.16.04.1
